workload,workload_kind,mode,do_sort,use_morton,block_size,metrics_block_size,run,cycles,parse_ms,exec_ms,ms_per_cycle,total_ms,parse_allocs,exec_allocs,final_count,pre_hot,pre_warm,pre_cold,pre_free,pre_mean_edge_dist,pre_p95_edge_dist,pre_block_local_pct,post_hot,post_warm,post_cold,post_free,post_mean_edge_dist,post_p95_edge_dist,post_block_local_pct
expr_reuse,expr,bsp-rank,True,False,0,256,0,3,193.0843720001576,6.67690800037235,2.225636000124117,199.76128000052995,47,14,63,15,0,33,65488,2.760869565217391,10.5,1.0,7,0,56,65473,16.54901960784314,56.0,1.0
expr_reuse,expr,bsp-rank,True,False,0,256,1,3,276.865630001339,7.509631999710109,2.503210666570036,284.3752620010491,47,14,63,15,0,33,65488,2.760869565217391,10.5,1.0,7,0,56,65473,16.54901960784314,56.0,1.0
expr_reuse,expr,bsp-rank,True,False,0,256,2,3,218.56500300054904,6.770899999537505,2.256966666512502,225.33590300008655,47,14,63,15,0,33,65488,2.760869565217391,10.5,1.0,7,0,56,65473,16.54901960784314,56.0,1.0
expr_reuse,expr,bsp-nosort,False,False,0,256,0,3,365.76001400135283,1.8540010005381191,0.6180003335127063,367.61401500189095,47,18,67,15,0,33,65488,2.760869565217391,10.5,1.0,7,0,59,65470,19.0,46.0,1.0
expr_reuse,expr,bsp-nosort,False,False,0,256,1,3,290.67833900080586,1.0195929990004515,0.3398643330001505,291.6979319998063,47,18,67,15,0,33,65488,2.760869565217391,10.5,1.0,7,0,59,65470,19.0,46.0,1.0
expr_reuse,expr,bsp-nosort,False,False,0,256,2,3,185.49772500045947,0.7849480007280363,0.2616493335760121,186.2826730011875,47,18,67,15,0,33,65488,2.760869565217391,10.5,1.0,7,0,59,65470,19.0,46.0,1.0
expr_reuse,expr,bsp-morton,True,True,0,256,0,3,213.5849820006115,9.136986000157776,3.0456620000525922,222.72196800076927,47,14,63,15,0,33,65488,2.760869565217391,10.5,1.0,7,0,56,65473,16.54901960784314,56.0,1.0
expr_reuse,expr,bsp-morton,True,True,0,256,1,3,261.8774359998497,10.980031000144663,3.6600103333815546,272.85746699999436,47,14,63,15,0,33,65488,2.760869565217391,10.5,1.0,7,0,56,65473,16.54901960784314,56.0,1.0
expr_reuse,expr,bsp-morton,True,True,0,256,2,3,268.955826999445,6.89117699948838,2.29705899982946,275.84700399893336,47,14,63,15,0,33,65488,2.760869565217391,10.5,1.0,7,0,56,65473,16.54901960784314,56.0,1.0
expr_reuse,expr,bsp-block256,True,False,256,256,0,3,307.72973199964326,60.22638999820629,20.075463332735428,367.95612199784955,47,14,63,15,0,33,65488,2.760869565217391,10.5,1.0,7,0,56,65473,16.54901960784314,56.0,1.0
expr_reuse,expr,bsp-block256,True,False,256,256,1,3,202.5515910008835,33.51447499881033,11.171491666270109,236.06606599969382,47,14,63,15,0,33,65488,2.760869565217391,10.5,1.0,7,0,56,65473,16.54901960784314,56.0,1.0
expr_reuse,expr,bsp-block256,True,False,256,256,2,3,162.76230800031044,30.894954999894253,10.298318333298084,193.6572630002047,47,14,63,15,0,33,65488,2.760869565217391,10.5,1.0,7,0,56,65473,16.54901960784314,56.0,1.0
expr_reuse,expr,bsp-morton-block256,True,True,256,256,0,3,166.45733499899507,34.69573300026241,11.565244333420802,201.15306799925747,47,14,63,15,0,33,65488,2.760869565217391,10.5,1.0,7,0,56,65473,16.54901960784314,56.0,1.0
expr_reuse,expr,bsp-morton-block256,True,True,256,256,1,3,161.01542099931976,31.832896998821525,10.610965666273842,192.84831799814128,47,14,63,15,0,33,65488,2.760869565217391,10.5,1.0,7,0,56,65473,16.54901960784314,56.0,1.0
expr_reuse,expr,bsp-morton-block256,True,True,256,256,2,3,162.88793999956397,33.516859000883414,11.172286333627804,196.40479900044738,47,14,63,15,0,33,65488,2.760869565217391,10.5,1.0,7,0,56,65473,16.54901960784314,56.0,1.0
expr_balanced,expr,baseline,,,,256,0,1,26.27286700044351,0.8955299999797717,0.8955299999797717,27.168397000423283,8,0,10,,,,,,,,,,,,,,
expr_balanced,expr,baseline,,,,256,1,1,26.443085000209976,0.7677480007259874,0.7677480007259874,27.210833000935963,8,0,10,,,,,,,,,,,,,,
expr_balanced,expr,baseline,,,,256,2,1,28.37085200008005,0.6741759989381535,0.6741759989381535,29.045027999018203,8,0,10,,,,,,,,,,,,,,
expr_balanced,expr,bsp-rank,True,False,0,256,0,3,1121.256739999808,8.314693999636802,2.7715646665456006,1129.5714339994447,255,100,357,63,0,193,65280,3.7755905511811023,16.0,0.9921259842519685,31,0,326,65179,90.01869158878505,326.0,0.7507788161993769
expr_balanced,expr,bsp-rank,True,False,0,256,1,3,989.208184000745,5.891029999474995,1.963676666491665,995.09921400022,255,100,357,63,0,193,65280,3.7755905511811023,16.0,0.9921259842519685,31,0,326,65179,90.01869158878505,326.0,0.7507788161993769
expr_balanced,expr,bsp-rank,True,False,0,256,2,3,856.254202000855,6.047597998986021,2.0158659996620067,862.301799999841,255,100,357,63,0,193,65280,3.7755905511811023,16.0,0.9921259842519685,31,0,326,65179,90.01869158878505,326.0,0.7507788161993769
expr_balanced,expr,bsp-nosort,False,False,0,256,0,3,924.995076000414,0.7641880001756363,0.25472933339187875,925.7592640005896,255,104,361,63,0,193,65280,3.7755905511811023,16.0,0.9921259842519685,31,0,329,65176,73.21165644171779,259.0,0.6503067484662577
expr_balanced,expr,bsp-nosort,False,False,0,256,1,3,892.0607449999807,0.75836399992113,0.25278799997371,892.8191089999018,255,104,361,63,0,193,65280,3.7755905511811023,16.0,0.9921259842519685,31,0,329,65176,73.21165644171779,259.0,0.6503067484662577
expr_balanced,expr,bsp-nosort,False,False,0,256,2,3,1098.3966830008285,1.1352330002409872,0.3784110000803291,1099.5319160010695,255,104,361,63,0,193,65280,3.7755905511811023,16.0,0.9921259842519685,31,0,329,65176,73.21165644171779,259.0,0.6503067484662577
expr_balanced,expr,bsp-morton,True,True,0,256,0,3,1214.332760000616,9.099913000682136,3.033304333560712,1223.432673001298,255,100,357,63,0,193,65280,3.7755905511811023,16.0,0.9921259842519685,31,0,326,65179,90.01869158878505,326.0,0.7507788161993769
expr_balanced,expr,bsp-morton,True,True,0,256,1,3,1033.0510670009971,6.784684999729507,2.2615616665765024,1039.8357520007266,255,100,357,63,0,193,65280,3.7755905511811023,16.0,0.9921259842519685,31,0,326,65179,90.01869158878505,326.0,0.7507788161993769
expr_balanced,expr,bsp-morton,True,True,0,256,2,3,871.8196480003826,6.6709860002447385,2.2236620000815797,878.4906340006273,255,100,357,63,0,193,65280,3.7755905511811023,16.0,0.9921259842519685,31,0,326,65179,90.01869158878505,326.0,0.7507788161993769
expr_balanced,expr,bsp-block256,True,False,256,256,0,3,969.2854340009944,49.333164000927354,16.444388000309118,1018.6185980019218,255,98,355,63,0,193,65280,3.7755905511811023,16.0,0.9921259842519685,30,0,324,65182,91.9211356466877,305.2,0.6593059936908517
expr_balanced,expr,bsp-block256,True,False,256,256,1,3,1235.6167649995768,48.58376300035161,16.19458766678387,1284.2005279999285,255,98,355,63,0,193,65280,3.7755905511811023,16.0,0.9921259842519685,30,0,324,65182,91.9211356466877,305.2,0.6593059936908517
expr_balanced,expr,bsp-block256,True,False,256,256,2,3,1300.977024000531,52.494649000436766,17.498216333478922,1353.4716730009677,255,98,355,63,0,193,65280,3.7755905511811023,16.0,0.9921259842519685,30,0,324,65182,91.9211356466877,305.2,0.6593059936908517
expr_balanced,expr,bsp-morton-block256,True,True,256,256,0,3,1032.836729000337,33.63898600036919,11.212995333456396,1066.4757150007063,255,98,355,63,0,193,65280,3.7755905511811023,16.0,0.9921259842519685,30,0,324,65182,91.9211356466877,305.2,0.6593059936908517
expr_balanced,expr,bsp-morton-block256,True,True,256,256,1,3,851.5207350010314,31.77971399964008,10.593237999880026,883.3004490006715,255,98,355,63,0,193,65280,3.7755905511811023,16.0,0.9921259842519685,30,0,324,65182,91.9211356466877,305.2,0.6593059936908517
expr_balanced,expr,bsp-morton-block256,True,True,256,256,2,3,1052.864139999656,48.486884001249564,16.162294667083188,1101.3510240009055,255,98,355,63,0,193,65280,3.7755905511811023,16.0,0.9921259842519685,30,0,324,65182,91.9211356466877,305.2,0.6593059936908517
expr_chain,expr,baseline,,,,256,0,1,346.0491900004854,1.161926000349922,1.161926000349922,347.2111160008353,65,0,67,,,,,,,,,,,,,,
expr_chain,expr,baseline,,,,256,1,1,367.6157220015739,1.1838260015792912,1.1838260015792912,368.7995480031532,65,0,67,,,,,,,,,,,,,,
expr_chain,expr,baseline,,,,256,2,1,359.8892390000401,0.8428199998888886,0.8428199998888886,360.732058999929,65,0,67,,,,,,,,,,,,,,
expr_chain,expr,bsp-rank,True,False,0,256,0,3,947.5676419988304,8.368849001271883,2.7896163337572943,955.9364910001023,194,0,196,64,0,131,65341,1.6632124352331605,3.0,1.0,63,0,133,65340,34.33507853403141,123.5,1.0
expr_chain,expr,bsp-rank,True,False,0,256,1,3,1135.3860369999893,5.863635000423528,1.9545450001411762,1141.2496720004128,194,0,196,64,0,131,65341,1.6632124352331605,3.0,1.0,63,0,133,65340,34.33507853403141,123.5,1.0
expr_chain,expr,bsp-rank,True,False,0,256,2,3,707.666166999843,5.597490000582184,1.8658300001940613,713.2636570004252,194,0,196,64,0,131,65341,1.6632124352331605,3.0,1.0,63,0,133,65340,34.33507853403141,123.5,1.0
expr_chain,expr,bsp-nosort,False,False,0,256,0,3,695.863195000129,0.9209389991156058,0.30697966637186863,696.7841339992447,194,4,200,64,0,131,65341,1.6632124352331605,3.0,1.0,63,0,136,65337,8.372448979591837,3.0,1.0
expr_chain,expr,bsp-nosort,False,False,0,256,1,3,838.4172579990263,1.086872000087169,0.362290666695723,839.5041299991135,194,4,200,64,0,131,65341,1.6632124352331605,3.0,1.0,63,0,136,65337,8.372448979591837,3.0,1.0
expr_chain,expr,bsp-nosort,False,False,0,256,2,3,1069.4045549989823,1.2037870001222473,0.4012623333740824,1070.6083419991046,194,4,200,64,0,131,65341,1.6632124352331605,3.0,1.0,63,0,136,65337,8.372448979591837,3.0,1.0
expr_chain,expr,bsp-morton,True,True,0,256,0,3,1071.0407229998964,9.010569001475233,3.0035230004917444,1080.0512920013716,194,0,196,64,0,131,65341,1.6632124352331605,3.0,1.0,63,0,133,65340,34.33507853403141,123.5,1.0
expr_chain,expr,bsp-morton,True,True,0,256,1,3,1037.9368659996544,9.692517000075895,3.2308390000252984,1047.6293829997303,194,0,196,64,0,131,65341,1.6632124352331605,3.0,1.0,63,0,133,65340,34.33507853403141,123.5,1.0
expr_chain,expr,bsp-morton,True,True,0,256,2,3,916.596302000471,5.783734999567969,1.9279116665226563,922.380037000039,194,0,196,64,0,131,65341,1.6632124352331605,3.0,1.0,63,0,133,65340,34.33507853403141,123.5,1.0
